MWBC,STATE,COUNTY,LAKE,AREA,YEAR,DATE,AGE0CPE,AGE1CPE,AGENCY,CODE,CRNTCODE,MILESURV,SHORMILE,PERCSURV,AGE0WAE,AGE0MINL,AGE0MAXL,AGE0AVEL,AGE1WAE,AGE1MINL,AGE1MAXL,AGE1AVEL,TOTALWAE,MUE,NOP,LMB,SMB,COMMENT,TEMP,CLARITY,RELIABLE,HOURS,OLDMILES,FORMMILE,MILESRCE,SHCKABLE,ALLSURV,MONTH,DAY,WDNRTYPE,ALLSHSRV
2339900,WI,VILAS,ESCANABA L,293,1966,9/23/1966,289.0804598,NA,WDNR,NR,NR,5.22,5.22,100,1509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,9,23,,
2339900,WI,VILAS,ESCANABA L,293,1966,10/6/1966,137.164751,NA,WDNR,NR,NR,5.22,5.22,100,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,56,NA,,NA,5.22,5.22,,NA,Y,10,6,,
2339900,WI,VILAS,ESCANABA L,293,1967,NA,NA,NA,WDNR,NR,NR,NA,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YOY PE = 8736, no other 1967 data available",NA,NA,,NA,NA,NA,,NA,N,NA,NA,,
2339900,WI,VILAS,ESCANABA L,293,1968,9/12/1968,9.0038314,22.605364,WDNR,NR,NR,5.22,5.22,100,47,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,9,12,,
2339900,WI,VILAS,ESCANABA L,293,1968,9/26/1968,19.5402299,21.6475096,WDNR,NR,NR,5.22,5.22,100,102,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,,60,NA,,NA,5.22,5.22,,NA,Y,9,26,,
2339900,WI,VILAS,ESCANABA L,293,1968,9/30/1968,17.0498084,9.5785441,WDNR,NR,NR,5.22,5.22,100,89,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,,62,NA,,NA,5.22,5.22,,NA,Y,9,30,,
2339900,WI,VILAS,ESCANABA L,293,1968,10/1/1968,16.6666667,18.3908046,WDNR,NR,NR,5.22,5.22,100,87,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,,63,NA,,NA,5.22,5.22,,NA,Y,10,1,,
2339900,WI,VILAS,ESCANABA L,293,1968,10/7/1968,75.6704981,6.51341,WDNR,NR,NR,5.22,5.22,100,395,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,,54,NA,,NA,5.22,5.22,,NA,Y,10,7,,
2339900,WI,VILAS,ESCANABA L,293,1968,10/16/1968,48.467433,5.1724138,WDNR,NR,NR,5.22,5.22,100,253,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,,64,NA,,NA,5.22,5.22,,NA,Y,10,16,,
2339900,WI,VILAS,ESCANABA L,293,1969,9/8/1969,56.3218391,NA,WDNR,NR,NR,5.22,5.22,100,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,67,NA,,NA,5.22,5.22,,NA,Y,9,8,,
2339900,WI,VILAS,ESCANABA L,293,1969,9/9/1969,57.6628352,NA,WDNR,NR,NR,5.22,5.22,100,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,65,NA,,NA,5.22,5.22,,NA,Y,9,9,,
2339900,WI,VILAS,ESCANABA L,293,1969,9/10/1969,123.7547893,NA,WDNR,NR,NR,5.22,5.22,100,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,10,,
2339900,WI,VILAS,ESCANABA L,293,1969,9/11/1969,106.7049808,NA,WDNR,NR,NR,5.22,5.22,100,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,68,NA,,NA,5.22,5.22,,NA,Y,9,11,,
2339900,WI,VILAS,ESCANABA L,293,1969,9/30/1969,140.4214559,NA,WDNR,NR,NR,5.22,5.22,100,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,53,NA,,NA,5.22,5.22,,NA,Y,9,30,,
2339900,WI,VILAS,ESCANABA L,293,1970,9/22/1970,281.9923372,NA,WDNR,NR,NR,5.22,5.22,100,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66,NA,,NA,5.22,5.22,,NA,Y,9,22,,
2339900,WI,VILAS,ESCANABA L,293,1970,9/28/1970,248.2758621,NA,WDNR,NR,NR,5.22,5.22,100,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,55,NA,,NA,5.22,5.22,,NA,Y,9,28,,
